Miasto,Powiat,Województwo,Powierzchnia [ha] (01.01.2021),Liczba ludności (01.01.2021),Gęstość zaludnienia [osoby/km²] (01.01.2021)
Zakroczym,nowodworski,mazowieckie,1997,3149,158
Zalewo,iławski,warmińsko-mazurskie,822,2129,259
Zambrów,zambrowski,podlaskie,1902,21921,1153
Zamość,Zamość,lubelskie,3034,62785,2069
Zator,oświęcimski,małopolskie,1152,3616,314
Zawadzkie,strzelecki,opolskie,1646,7032,427
Zawichost,sandomierski,świętokrzyskie,2029,1713,84
Zawidów,zgorzelecki,dolnośląskie,607,4132,681
Zawiercie,zawierciański,śląskie,8525,48703,571
Ząbki,wołomiński,mazowieckie,1098,38546,3511
Ząbkowice Śląskie,ząbkowicki,dolnośląskie,1367,14728,1077
Zbąszynek,świebodziński,lubuskie,358,4997,1396
Zbąszyń,nowotomyski,wielkopolskie,542,7213,1331
Zduny,krotoszyński,wielkopolskie,620,4445,717
Zduńska Wola,zduńskowolski,łódzkie,2457,41288,1680
Zdzieszowice,krapkowicki,opolskie,1235,11246,911
Zelów,bełchatowski,łódzkie,1075,7459,694
Zgierz,zgierski,łódzkie,4233,55673,1315
Zgorzelec,zgorzelecki,dolnośląskie,1588,29810,1877
Zielona Góra,Zielona Góra,lubuskie,27826,140892,506
Zielonka,wołomiński,mazowieckie,7948,17486,220
Ziębice,ząbkowicki,dolnośląskie,1507,8531,566
Złocieniec,drawski,zachodniopomorskie,3228,12706,394
Złoczew,sieradzki,łódzkie,1379,3340,242
Złotoryja,złotoryjski,dolnośląskie,1151,15273,1327
Złotów,złotowski,wielkopolskie,1158,18437,1592
Złoty Stok,ząbkowicki,dolnośląskie,773,2696,349
Zwierzyniec,zamojski,lubelskie,619,3101,501
Zwoleń,zwoleński,mazowieckie,1591,7660,481
Żabno,tarnowski,małopolskie,1113,4184,376
Żagań,żagański,lubuskie,4038,25265,626
Żarki,myszkowski,śląskie,2544,4538,178
Żarnów,opoczyński,łódzkie,962,1074,112
Żarów,świdnicki,dolnośląskie,757,6648,878
Żary,żarski,lubuskie,3349,37052,1106
Żelechów,garwoliński,mazowieckie,1213,3895,321
Żerków,jarociński,wielkopolskie,216,2109,976
Żmigród,trzebnicki,dolnośląskie,949,6444,679
Żnin,żniński,kujawsko-pomorskie,835,13623,1631
Żory,Żory,śląskie,6464,62844,972
Żukowo,kartuski,pomorskie,473,8135,1422
Żuromin,żuromiński,mazowieckie,1118,8756,783
Żychlin,kutnowski,łódzkie,868,7964,918
Żyrardów,żyrardowski,mazowieckie,1435,39550,2756
Żywiec,żywiecki,śląskie,5054,30733,608
