Miasto,Powiat,Województwo,Powierzchnia [ha] (01.01.2021),Liczba ludności (01.01.2021),Gęstość zaludnienia [osoby/km²] (01.01.2021)
Głuchołazy,nyski,opolskie,683,13388,1960
Głuszyca,wałbrzyski,dolnośląskie,1621,6246,385
Gniew,tczewski,pomorskie,604,6608,1094
Gniewkowo,inowrocławski,kujawsko-pomorskie,918,7060,769
Gniezno,gnieźnieński,wielkopolskie,4060,67570,1664
Gogolin,krapkowicki,opolskie,2035,6765,332
Golczewo,kamieński,zachodniopomorskie,742,2673,360
Goleniów,goleniowski,zachodniopomorskie,1178,21979,1866
Golina,koniński,wielkopolskie,352,4450,1264
Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie,750,12412,1655
Gołańcz,wągrowiecki,wielkopolskie,1264,3158,250
Gołdap,gołdapski,warmińsko-mazurskie,1720,13600,791
Goniądz,moniecki,podlaskie,428,1819,425
Goraj,biłgorajski,lubelskie,762,917,120
Gorlice,gorlicki,małopolskie,2353,26973,1146
Gorzów Śląski,oleski,opolskie,1854,2439,132
Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie,8572,122589,1430
Gostynin,gostyniński,mazowieckie,3240,18355,567
Gostyń,gostyński,wielkopolskie,1109,20250,1826
Gościno,kołobrzeski,zachodniopomorskie,570,2439,428
Gowarczów,konecki,świętokrzyskie,1203,1343,112
Gozdnica,żagański,lubuskie,2392,2977,124
Góra,górowski,dolnośląskie,1365,11574,848
Góra Kalwaria,piaseczyński,mazowieckie,1367,11988,877
Górowo Iławeckie,bartoszycki,warmińsko-mazurskie,332,3887,1171
Górzno,brodnicki,kujawsko-pomorskie,343,1403,409
Grabów,łęczycki,łódzkie,918,1003,109
Grabów nad Prosną,ostrzeszowski,wielkopolskie,258,1912,741
Grajewo,grajewski,podlaskie,1894,21709,1146
Grodków,brzeski,opolskie,988,8501,860
Grodzisk Mazowiecki,grodziski,mazowieckie,1319,32452,2460
Grodzisk Wielkopolski,grodziski,wielkopolskie,1821,14713,808
Grójec,grójecki,mazowieckie,857,16785,1959
Grudziądz,Grudziądz,kujawsko-pomorskie,5776,93564,1620
Grybów,nowosądecki,małopolskie,1695,5986,353
Gryfice,gryficki,zachodniopomorskie,1240,16212,1307
Gryfino,gryfiński,zachodniopomorskie,1181,20923,1772
Gryfów Śląski,lwówecki,dolnośląskie,663,6509,982
Gubin,krośnieński,lubuskie,2068,16528,799
Hajnówka,hajnowski,podlaskie,2129,20265,952
Halinów,miński,mazowieckie,284,3714,1308
Hel,pucki,pomorskie,2295,3212,140
Hrubieszów,hrubieszowski,lubelskie,3303,17232,522
Iława,iławski,warmińsko-mazurskie,2188,33206,1518
Iłowa,żagański,lubuskie,918,3844,419
Iłża,radomski,mazowieckie,1583,4642,293
Imielin,bieruńsko-lędziński,śląskie,2799,9269,331
Inowłódz,tomaszowski,łódzkie,1566,829,53
Inowrocław,inowrocławski,kujawsko-pomorskie,3042,71674,2356
Ińsko,stargardzki,zachodniopomorskie,748,1892,253
Iwaniska,opatowski,świętokrzyskie,598,1322,223
Iwonicz-Zdrój,krośnieński,podkarpackie,589,1742,296
Izbica,krasnostawski,lubelskie,946,1739,184
Izbica Kujawska,włocławski,kujawsko-pomorskie,224,2594,1158
Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie,335,3730,1113
Jadów,wołomiński,mazowieckie,463,934,202
Janikowo,inowrocławski,kujawsko-pomorskie,951,8638,908
Janowiec Wielkopolski,żniński,kujawsko-pomorskie,304,3897,1282
Janów Lubelski,janowski,lubelskie,1480,11661,788
Jaraczewo,jarociński,wielkopolskie,1007,1403,139
Jarocin,jarociński,wielkopolskie,2196,26453,1205
Jarosław,jarosławski,podkarpackie,3461,37073,1071
Jasień,żarski,lubuskie,479,4215,880
Jasło,jasielski,podkarpackie,3652,34542,946
Jastarnia,pucki,pomorskie,506,2679,529
Jastrowie,złotowski,wielkopolskie,7230,8580,119
Jastrząb,szydłowiecki,mazowieckie,1255,1071,85
Jastrzębie-Zdrój,Jastrzębie-Zdrój,śląskie,8533,88038,1032
Jawor,jaworski,dolnośląskie,1880,22462,1195
Jawornik Polski,przeworski,podkarpackie,848,1190,140
Jaworzno,Jaworzno,śląskie,15259,90368,592
Jaworzyna Śląska,świdnicki,dolnośląskie,434,5118,1179
Jedlicze,krośnieński,podkarpackie,1060,5658,534
Jedlina-Zdrój,wałbrzyski,dolnośląskie,1745,4789,274
Jedlnia-Letnisko,radomski,mazowieckie,822,3976,483
Jedwabne,łomżyński,podlaskie,454,1607,354
Jelcz-Laskowice,oławski,dolnośląskie,1706,15648,917
Jelenia Góra,Jelenia Góra,dolnośląskie,10922,78335,717
Jeziorany,olsztyński,warmińsko-mazurskie,341,3135,919
Jeżów,brzeziński,łódzkie,1256,1278,102
Jędrzejów,jędrzejowski,świętokrzyskie,1137,14812,1303
Jordanów,suski,małopolskie,2103,5152,245
Józefów,biłgorajski,lubelskie,500,2473,495
Józefów,otwocki,mazowieckie,2391,20741,867
Józefów nad Wisłą,opolski,lubelskie,365,902,247
Jutrosin,rawicki,wielkopolskie,162,1966,1214
Kaczory,pilski,wielkopolskie,1655,2904,175
Kalety,tarnogórski,śląskie,7629,8548,112
Kalisz,Kalisz,wielkopolskie,6942,99106,1428
Kalisz Pomorski,drawski,zachodniopomorskie,1196,4363,365
Kalwaria Zebrzydowska,wadowicki,małopolskie,550,4469,813
Kałuszyn,miński,mazowieckie,1230,2862,233
Kamieniec Ząbkowicki,ząbkowicki,dolnośląskie,1299,4467,344
Kamienna Góra,kamiennogórski,dolnośląskie,1804,18585,1030
Kamień Krajeński,sępoleński,kujawsko-pomorskie,365,2335,640
Kamień Pomorski,kamieński,zachodniopomorskie,1074,8677,808
Kamieńsk,radomszczański,łódzkie,1199,2703,225
Kamionka,lubartowski,lubelskie,589,1712,291
Kańczuga,przeworski,podkarpackie,760,3131,412
Karczew,otwocki,mazowieckie,2812,9811,349
Kargowa,zielonogórski,lubuskie,455,3774,829
Karlino,białogardzki,zachodniopomorskie,940,5862,624
Karpacz,karkonoski,dolnośląskie,3799,4487,118
Kartuzy,kartuski,pomorskie,735,14276,1942
Katowice,Katowice,śląskie,16464,290553,1765
Kazimierz Dolny,puławski,lubelskie,3044,2534,83
Kazimierza Wielka,kazimierski,świętokrzyskie,614,5429,884
Kąty Wrocławskie,wrocławski,dolnośląskie,861,7028,816
Kcynia,nakielski,kujawsko-pomorskie,684,4515,660
Kędzierzyn-Koźle,kędzierzyńsko-kozielski,opolskie,12371,60021,485
Kępice,słupski,pomorskie,611,3558,582
Kępno,kępiński,wielkopolskie,779,13889,1783
Kętrzyn,kętrzyński,warmińsko-mazurskie,1035,26788,2588
Kęty,oświęcimski,małopolskie,2305,18443,800
Kielce,Kielce,świętokrzyskie,10965,193415,1764
Kiernozia,łowicki,łódzkie,459,831,181
Kietrz,głubczycki,opolskie,1874,5874,313
Kikół,lipnowski,kujawsko-pomorskie,401,1994,498
Kisielice,iławski,warmińsko-mazurskie,337,2081,618
Kleczew,koniński,wielkopolskie,780,4097,525
Kleszczele,hajnowski,podlaskie,4671,1216,26
Klimontów,sandomierski,świętokrzyskie,466,1884,404
Kluczbork,kluczborski,opolskie,1235,23254,1883
Kłecko,gnieźnieński,wielkopolskie,962,2605,271
Kłobuck,kłobucki,śląskie,4746,12756,269
Kłodawa,kolski,wielkopolskie,431,6355,1474
Kłodzko,kłodzki,dolnośląskie,2484,26421,1064
